course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,students_enrolled_numeric,combined_features,difficulty_encoded,certificate_encoded,popularity_score,cluster
isc systems security certified practitioner sscp,isc,specialization,4.7,beginner,5.3k,5300.0,isc systems security certified practitioner sscp isc specialization beginner,1,2,0.1760599117999635,3
a crash course in causality inferring causal effects from observational data,university of pennsylvania,course,4.7,intermediate,17k,17000.0,a crash course in causality inferring causal effects from observational data university of pennsylvania course intermediate,2,0,0.3247863864842419,7
a crash course in data science,johns hopkins university,course,4.5,mixed,130k,130000.0,a crash course in data science johns hopkins university course mixed,3,0,0.54611556132217,4
a law student s toolkit,yale university,course,4.7,mixed,91k,91000.0,a law student s toolkit yale university course mixed,3,0,0.538883072094213,7
a life of happiness and fulfillment,indian school of business,course,4.8,mixed,320k,320000.0,a life of happiness and fulfillment indian school of business course mixed,3,0,0.7185036350216762,6
adhd everyday strategies for elementary students,university at buffalo,course,4.7,beginner,39k,39000.0,adhd everyday strategies for elementary students university at buffalo course beginner,1,0,0.4307519875902326,3
ai for everyone,deeplearning ai,course,4.8,beginner,350k,350000.0,ai for everyone deeplearning ai course beginner,1,0,0.7299399892907585,2
ai for medical treatment,deeplearning ai,course,4.8,intermediate,2.4k,2400.0,ai for medical treatment deeplearning ai course intermediate,2,0,0.0941259673162255,2
ai foundations for everyone,ibm,specialization,4.7,beginner,61k,61000.0,ai foundations for everyone ibm specialization beginner,1,2,0.487837215794344,5
ai for medical diagnosis,deeplearning ai,course,4.7,intermediate,12k,12000.0,ai for medical diagnosis deeplearning ai course intermediate,2,0,0.2803382844519682,2
ai for medical prognosis,deeplearning ai,course,4.6,intermediate,4k,4000.0,ai for medical prognosis deeplearning ai course intermediate,2,0,0.1210104697642386,2
ai for medicine,deeplearning ai,specialization,4.7,intermediate,13k,13000.0,ai for medicine deeplearning ai specialization intermediate,2,2,0.2905525924975802,2
aws fundamentals,amazon web services,specialization,4.6,beginner,130k,130000.0,aws fundamentals amazon web services specialization beginner,1,2,0.5652587032022209,3
aws fundamentals addressing security risk,amazon web services,course,4.3,beginner,11k,11000.0,aws fundamentals addressing security risk amazon web services course beginner,1,0,0.1926622094402832,3
aws fundamentals building serverless applications,amazon web services,course,4.7,beginner,27k,27000.0,aws fundamentals building serverless applications amazon web services course beginner,1,0,0.3838240576560796,3
aws fundamentals going cloud native,amazon web services,course,4.7,beginner,110k,110000.0,aws fundamentals going cloud native amazon web services course beginner,1,0,0.5630824232759473,3
aws fundamentals migrating to the cloud,amazon web services,course,4.5,intermediate,13k,13000.0,aws fundamentals migrating to the cloud amazon web services course intermediate,2,0,0.2522663087374797,2
aboriginal worldviews and education,university of toronto,course,4.7,mixed,6.6k,6600.0,aboriginal worldviews and education university of toronto course mixed,3,0,0.2040504613477356,7
academic english writing,university of california irvine,specialization,4.7,beginner,540k,540000.0,academic english writing university of california irvine specialization beginner,1,2,0.7661377536920444,9
accelerated computer science fundamentals,university of illinois at urbana champaign,specialization,4.7,intermediate,22k,22000.0,accelerated computer science fundamentals university of illinois at urbana champaign specialization intermediate,2,2,0.3576890752119981,1
access controls,isc,course,4.6,beginner,2.9k,2900.0,access controls isc course beginner,1,0,0.0799817618657807,3
accounting analytics,university of pennsylvania,course,4.5,mixed,80k,80000.0,accounting analytics university of pennsylvania course mixed,3,0,0.4841552082023321,7
accounting for decision making,university of michigan,course,4.8,intermediate,9.9k,9900.0,accounting for decision making university of michigan course intermediate,2,0,0.2749329991520222,2
achieving personal and professional success,university of pennsylvania,specialization,4.7,beginner,110k,110000.0,achieving personal and professional success university of pennsylvania specialization beginner,1,2,0.5630824232759473,7
actualizaci n en el manejo del paciente con diabetes mellitus tipo 2,universidad nacional aut noma de m xico,course,4.8,mixed,23k,23000.0,actualizaci n en el manejo del paciente con diabetes mellitus tipo 2 universidad nacional aut noma de m xico course mixed,3,0,0.3825049408727006,3
addiction treatment clinical skills for healthcare providers,yale university,course,4.8,beginner,9.2k,9200.0,addiction treatment clinical skills for healthcare providers yale university course beginner,1,0,0.265575373453689,3
advanced business analytics,university of colorado boulder,specialization,4.5,intermediate,78k,78000.0,advanced business analytics university of colorado boulder specialization intermediate,2,2,0.4809241665037294,6
advanced data science with ibm,ibm,specialization,4.4,advanced,320k,320000.0,advanced data science with ibm ibm specialization advanced,0,2,0.6419310675014747,5
advanced machine learning,national research university higher school of economics,specialization,4.5,advanced,190k,190000.0,advanced machine learning national research university higher school of economics specialization advanced,0,2,0.5945460757824748,6
advanced machine learning with tensorflow on google cloud platform,google cloud,specialization,4.5,advanced,35k,35000.0,advanced machine learning with tensorflow on google cloud platform google cloud specialization advanced,0,2,0.3786557577733429,8
advanced valuation and strategy m a private equity and venture capital,erasmus university rotterdam,course,4.7,advanced,29k,29000.0,advanced valuation and strategy m a private equity and venture capital erasmus university rotterdam course advanced,0,0,0.3929433922623864,3
advertising and society,duke university,course,4.8,mixed,14k,14000.0,advertising and society duke university course mixed,3,0,0.3191527627181956,7
age of cathedrals,yale university,course,4.7,beginner,21k,21000.0,age of cathedrals yale university course beginner,1,0,0.3517524230378841,3
agile development,university of virginia,specialization,4.7,beginner,94k,94000.0,agile development university of virginia specialization beginner,1,2,0.5430224479074317,3
agile meets design thinking,university of virginia,course,4.7,beginner,69k,69000.0,agile meets design thinking university of virginia course beginner,1,0,0.5035640393629541,3
agile with atlassian jira,atlassian,course,4.7,beginner,40k,40000.0,agile with atlassian jira atlassian course beginner,1,0,0.4339829883862394,3
agile scrum,scrumtrek,course,4.9,beginner,12k,12000.0,agile scrum scrumtrek course beginner,1,0,0.3186245682120687,3
algorithmic toolbox,university of california san diego,course,4.7,intermediate,220k,220000.0,algorithmic toolbox university of california san diego course intermediate,2,0,0.6515419419928006,9
algorithms,stanford university,specialization,4.8,intermediate,150k,150000.0,algorithms stanford university specialization intermediate,2,2,0.6218075210897727,2
algorithms for battery management systems,university of colorado system,specialization,4.8,intermediate,14k,14000.0,algorithms for battery management systems university of colorado system specialization intermediate,2,2,0.3191527627181956,2
american contract law i,yale university,course,4.9,beginner,18k,18000.0,american contract law i yale university course beginner,1,0,0.3703668640447901,3
an introduction to american law,university of pennsylvania,course,4.8,beginner,23k,23000.0,an introduction to american law university of pennsylvania course beginner,1,0,0.3825049408727006,7
an introduction to consumer neuroscience neuromarketing,copenhagen business school,course,4.7,beginner,69k,69000.0,an introduction to consumer neuroscience neuromarketing copenhagen business school course beginner,1,0,0.5035640393629541,6
an introduction to programming the internet of things iot,university of california irvine,specialization,4.6,beginner,270k,270000.0,an introduction to programming the internet of things iot university of california irvine specialization beginner,1,2,0.6585347493383162,9
analysing numeric and digital literacies,macquarie university,specialization,4.6,beginner,7.9k,7900.0,analysing numeric and digital literacies macquarie university specialization beginner,1,2,0.2078495047680304,3
anatomy,university of michigan,specialization,4.8,beginner,30k,30000.0,anatomy university of michigan specialization beginner,1,2,0.4164129355478776,3
anatomy of the chest abdomen and pelvis,yale university,course,4.8,intermediate,36k,36000.0,anatomy of the chest abdomen and pelvis yale university course intermediate,2,0,0.4396802760942755,2
anatomy musculoskeletal and integumentary systems,university of michigan,course,4.8,beginner,20k,20000.0,anatomy musculoskeletal and integumentary systems university of michigan course beginner,1,0,0.3646692218621901,3
ancient philosophy aristotle and his successors,university of pennsylvania,course,4.8,mixed,8.1k,8100.0,ancient philosophy aristotle and his successors university of pennsylvania course mixed,3,0,0.249326079535574,7
android app development,vanderbilt university,specialization,4.5,beginner,120k,120000.0,android app development vanderbilt university specialization beginner,1,2,0.5359005170667603,3
animal behaviour and welfare,the university of edinburgh,course,4.8,mixed,71k,71000.0,animal behaviour and welfare the university of edinburgh course mixed,3,0,0.526353689960855,7
antibiotic stewardship,stanford university,course,4.5,advanced,11k,11000.0,antibiotic stewardship stanford university course advanced,0,0,0.2309484932003838,3
anticorrupci n introducci n a conceptos y perspectiva pr ctica,universidad nacional aut noma de m xico,course,4.8,beginner,11k,11000.0,anticorrupci n introducci n a conceptos y perspectiva pr ctica universidad nacional aut noma de m xico course beginner,1,0,0.2883779188405353,3
antimicrobial resistance theory and methods,technical university of denmark dtu,course,4.6,intermediate,63k,63000.0,antimicrobial resistance theory and methods technical university of denmark dtu course intermediate,2,0,0.4728111692487853,2
applied data science,ibm,specialization,4.6,beginner,220k,220000.0,applied data science ibm specialization beginner,1,2,0.6323988001127501,5
applied data science capstone,ibm,course,4.7,intermediate,42k,42000.0,applied data science capstone ibm course intermediate,2,0,0.440209483360559,5
applied data science with python,university of michigan,specialization,4.5,intermediate,480k,480000.0,applied data science with python university of michigan specialization intermediate,2,2,0.7128199170562164,5
applied machine learning in python,university of michigan,course,4.6,intermediate,150k,150000.0,applied machine learning in python university of michigan course intermediate,2,0,0.5835212373296716,5
applied plotting charting data representation in python,university of michigan,course,4.6,intermediate,97k,97000.0,applied plotting charting data representation in python university of michigan course intermediate,2,0,0.527888628716886,5
aprende a programar con python,universidad austral,specialization,4.2,beginner,6.6k,6600.0,aprende a programar con python universidad austral specialization beginner,1,2,0.1083347519474831,3
aprender,universidad nacional aut noma de m xico,course,4.8,mixed,200k,200000.0,aprender universidad nacional aut noma de m xico course mixed,3,0,0.6585215665847128,3
aprendiendo a aprender poderosas herramientas mentales con las que podr s dominar temas dif ciles learning how to learn,university of california san diego,course,4.9,beginner,180k,180000.0,aprendiendo a aprender poderosas herramientas mentales con las que podr s dominar temas dif ciles learning how to learn university of california san diego course beginner,1,0,0.6642185706996275,9
architecting with google cloud platform,google cloud,specialization,4.5,intermediate,4.2k,4200.0,architecting with google cloud platform google cloud specialization intermediate,2,2,0.1080924558582132,8
architecting with google compute engine,google cloud,specialization,4.7,intermediate,310k,310000.0,architecting with google compute engine google cloud specialization intermediate,2,2,0.6953087070976474,8
architecting with google kubernetes engine,google cloud,specialization,4.5,beginner,3.9k,3900.0,architecting with google kubernetes engine google cloud specialization beginner,1,2,0.0986370631578494,8
arizona state university tesol,arizona state university,professional certificate,4.9,beginner,150k,150000.0,arizona state university tesol arizona state university professional certificate beginner,1,1,0.6409506629698227,0
art activity interactive strategies for engaging with art,the museum of modern art,course,4.8,mixed,79k,79000.0,art activity interactive strategies for engaging with art the museum of modern art course mixed,3,0,0.5399793379523228,7
art ideas teaching with themes,the museum of modern art,course,4.8,mixed,31k,31000.0,art ideas teaching with themes the museum of modern art course mixed,3,0,0.4205974665290362,7
arts and culture strategy,national arts strategies,course,4.6,mixed,15k,15000.0,arts and culture strategy national arts strategies course mixed,3,0,0.2896708067985085,7
arts and heritage management,universit bocconi,course,4.8,mixed,15k,15000.0,arts and heritage management universit bocconi course mixed,3,0,0.3279570905586095,7
aspectos b sicos de la planificaci n y la gesti n de proyectos,university of virginia,course,4.9,beginner,10k,10000.0,aspectos b sicos de la planificaci n y la gesti n de proyectos university of virginia course beginner,1,0,0.295358645502886,3
astrobiology and the search for extraterrestrial life,the university of edinburgh,course,4.7,mixed,66k,66000.0,astrobiology and the search for extraterrestrial life the university of edinburgh course mixed,3,0,0.4978911474487324,7
atenci n primaria en salud el desaf o de las enfermedades no transmisibles,pontificia universidad cat lica de chile,course,4.8,intermediate,33k,33000.0,atenci n primaria en salud el desaf o de las enfermedades no transmisibles pontificia universidad cat lica de chile course intermediate,2,0,0.4285761241274257,2
autism spectrum disorder,university of california davis,course,4.6,mixed,56k,56000.0,autism spectrum disorder university of california davis course mixed,3,0,0.457779840043123,9
autodesk cad cam for manufacturing,autodesk,specialization,4.8,intermediate,7.3k,7300.0,autodesk cad cam for manufacturing autodesk specialization intermediate,2,2,0.2360565403594008,2
autodesk cad cam cae for mechanical engineering,autodesk,specialization,4.8,intermediate,9.2k,9200.0,autodesk cad cam cae for mechanical engineering autodesk specialization intermediate,2,2,0.265575373453689,2
autodesk certified professional autocad for design and drafting exam prep,autodesk,course,4.7,advanced,22k,22000.0,autodesk certified professional autocad for design and drafting exam prep autodesk course advanced,0,0,0.3576890752119981,3
autodesk certified professional revit for architectural design exam prep,autodesk,course,4.7,advanced,9.7k,9700.0,autodesk certified professional revit for architectural design exam prep autodesk course advanced,0,0,0.2531855235371067,3
bim fundamentals for engineers,national taiwan university,course,4.6,beginner,13k,13000.0,bim fundamentals for engineers national taiwan university course beginner,1,0,0.2714094506175302,3
basic statistics,university of amsterdam,course,4.6,beginner,180k,180000.0,basic statistics university of amsterdam course beginner,1,0,0.606789145059476,3
bayesian statistics from concept to data analysis,university of california santa cruz,course,4.8,intermediate,91k,91000.0,bayesian statistics from concept to data analysis university of california santa cruz course intermediate,2,0,0.5580262139742636,9
bayesian statistics techniques and models,university of california santa cruz,course,4.8,intermediate,29k,29000.0,bayesian statistics techniques and models university of california santa cruz course intermediate,2,0,0.4120865341424369,9
become a cbrs certified professional installer by google,google spectrum sharing,course,4.9,mixed,210k,210000.0,become a cbrs certified professional installer by google google spectrum sharing course mixed,3,0,0.6838913249792817,8
become a journalist report the news,michigan state university,specialization,4.7,beginner,28k,28000.0,become a journalist report the news michigan state university specialization beginner,1,2,0.3884651619994872,0
become a sustainable business change agent,university of colorado system,specialization,4.7,intermediate,4.2k,4200.0,become a sustainable business change agent university of colorado system specialization intermediate,2,2,0.146378739618314,6
becoming a sports agent,case western reserve university,course,4.7,beginner,6.5k,6500.0,becoming a sports agent case western reserve university course beginner,1,0,0.2021023095527154,3
becoming a changemaker introduction to social innovation,university of cape town,course,4.8,beginner,61k,61000.0,becoming a changemaker introduction to social innovation university of cape town course beginner,1,0,0.5069803576743945,3
behavioral finance,duke university,course,4.4,mixed,55k,55000.0,behavioral finance duke university course mixed,3,0,0.4171940590022855,7
beyond the sustainable development goals sdgs addressing sustainability and development,university of michigan,course,4.6,mixed,2.3k,2300.0,beyond the sustainable development goals sdgs addressing sustainability and development university of michigan course mixed,3,0,0.0504104962980747,7
big data introducci n al uso pr ctico de datos masivos,universitat aut noma de barcelona,specialization,4.5,beginner,8.8k,8800.0,big data introducci n al uso pr ctico de datos masivos universitat aut noma de barcelona specialization beginner,1,2,0.2024736022969753,3
biohacking your brain s health,emory university,course,4.6,beginner,35k,35000.0,biohacking your brain s health emory university course beginner,1,0,0.3977988996533934,3
biology meets programming bioinformatics for beginners,university of california san diego,course,4.4,beginner,88k,88000.0,biology meets programming bioinformatics for beginners university of california san diego course beginner,1,0,0.4771754965975923,9
biostatistics in public health,johns hopkins university,specialization,4.8,beginner,14k,14000.0,biostatistics in public health johns hopkins university specialization beginner,1,2,0.3191527627181956,4
blended language learning design and practice for teachers,university of colorado boulder,course,4.8,intermediate,1.9k,1900.0,blended language learning design and practice for teachers university of colorado boulder course intermediate,2,0,0.0643258059699281,2
